ID,Level,NormalAttribute,EliteAttribute,BossAttribute,MVPAttribute,Function
658,58,21876=61,43753=103,236999=206,236999=206,6
659,59,21983=63,43967=105,238158=210,238158=210,6
660,60,31739=66,63479=110,343848=221,343848=221,6
661,61,31276=66,62553=110,338831=220,338831=220,6
662,62,31501=70,63003=117,341268=235,341268=235,6
663,63,31734=76,63468=127,343787=254,343787=254,6
664,64,31944=77,63889=129,346066=259,346066=259,6
665,65,33670=83,67341=138,364767=277,364767=277,6
666,66,34013=84,68026=141,368474=282,368474=282,6
667,67,34597=88,69194=146,374803=293,374803=293,6
668,68,34913=89,69826=149,378227=299,378227=299,6
669,69,35674=91,71348=152,386471=305,386471=305,6
670,70,37966=115,75933=192,411308=384,411308=384,6
671,71,38656=117,77313=195,418780=391,418780=391,6
672,72,40525=119,81050=199,439026=399,439026=399,6
673,73,42051=122,84103=203,455558=407,455558=407,6
674,74,48284=124,96569=207,523086=415,523086=415,6
675,75,52476=149,104952=249,568494=499,568494=499,6
676,76,54596=159,109193=265,591466=531,591466=531,6
677,77,58512=161,117025=269,633888=539,633888=539,6
678,78,59023=164,118046=274,639418=548,639418=548,6
679,79,59810=167,119621=278,647947=557,647947=557,6
680,80,75279=182,150558=304,815523=609,815523=609,6
681,81,75790=185,151580=309,821060=618,821060=618,6
682,82,77794=188,155589=314,842774=628,842774=628,6
683,83,78450=191,156900=319,849880=639,849880=639,6
684,84,84430=194,168861=324,914664=649,914664=649,6
685,85,85965=203,171931=339,931293=679,931293=679,6
686,86,86574=209,173148=348,937889=697,937889=697,6
687,87,87539=212,175078=354,948340=708,948340=708,6
688,88,89878=215,179756=359,973681=719,973681=719,6
689,89,90867=219,181734=365,984395=730,984395=730,6
690,90,97686=224,195372=373,1058269=747,1058269=747,6
691,91,98572=227,197144=379,1067863=758,1067863=758,6
692,92,99591=231,199183=385,1078911=770,1078911=770,6
693,93,105888=234,211777=390,1147125=781,1147125=781,6
694,94,106817=240,213634=401,1157185=802,1157185=802,6
695,95,108833=249,217667=415,1179031=830,1179031=830,6
696,96,109704=252,219409=420,1188469=841,1188469=841,6
697,97,111202=261,222405=436,1204695=872,1204695=872,6
698,98,111930=265,223860=442,1212579=884,1212579=884,6
699,99,121411=269,242822=448,1315290=897,1315290=897,6
700,100,158663=368,317327=614,1718858=1229,1718858=1229,6
701,101,162276=373,324553=623,1757996=1246,1757996=1246,6
702,102,163545=379,327091=632,1771747=1264,1771747=1264,6
703,103,164717=384,329435=641,1784440=1282,1784440=1282,6
704,104,166069=390,332139=650,1799089=1301,1799089=1301,6
705,105,168247=406,336495=677,1822685=1355,1822685=1355,6
706,106,169075=411,338150=686,1831648=1372,1831648=1372,6
707,107,169759=416,339519=694,1839065=1389,1839065=1389,6
708,108,170085=421,340171=703,1842595=1406,1842595=1406,6
709,109,170496=427,340993=711,1847049=1423,1847049=1423,6
710,110,179130=435,358260=725,1940580=1450,1940580=1450,6
711,111,179540=440,359080=734,1945017=1468,1945017=1468,6
712,112,179912=445,359824=743,1949051=1486,1949051=1486,6
713,113,180274=451,360548=752,1952970=1504,1952970=1504,6
714,114,180719=456,361439=761,1957798=1522,1957798=1522,6
715,115,181614=471,363228=786,1967490=1572,1967490=1572,6
716,116,181712=476,363424=794,1968550=1589,1968550=1589,6
717,117,181810=482,363620=803,1969609=1607,1969609=1607,6
718,118,181889=487,363778=812,1970467=1624,1970467=1624,6
719,119,181987=492,363974=821,1971527=1642,1971527=1642,6
720,120,183245=500,366491=833,1985161=1666,1985161=1666,6
721,121,183245=500,366491=833,1985161=1666,1985161=1666,6
722,122,183245=500,366491=833,1985161=1666,1985161=1666,6
723,123,183245=500,366491=833,1985161=1666,1985161=1666,6
724,124,183245=500,366491=833,1985161=1666,1985161=1666,6
725,125,183245=500,366491=833,1985161=1666,1985161=1666,6
726,126,183245=500,366491=833,1985161=1666,1985161=1666,6
727,127,183245=500,366491=833,1985161=1666,1985161=1666,6
728,128,183245=500,366491=833,1985161=1666,1985161=1666,6
729,129,183245=500,366491=833,1985161=1666,1985161=1666,6
730,130,183245=500,366491=833,1985161=1666,1985161=1666,6
731,131,183245=500,366491=833,1985161=1666,1985161=1666,6
732,132,183245=500,366491=833,1985161=1666,1985161=1666,6
733,133,183245=500,366491=833,1985161=1666,1985161=1666,6
734,134,183245=500,366491=833,1985161=1666,1985161=1666,6
735,135,183245=500,366491=833,1985161=1666,1985161=1666,6
736,136,183245=500,366491=833,1985161=1666,1985161=1666,6
737,137,183245=500,366491=833,1985161=1666,1985161=1666,6
738,138,183245=500,366491=833,1985161=1666,1985161=1666,6
739,139,183245=500,366491=833,1985161=1666,1985161=1666,6
740,140,183245=500,366491=833,1985161=1666,1985161=1666,6
741,141,183245=500,366491=833,1985161=1666,1985161=1666,6
742,142,183245=500,366491=833,1985161=1666,1985161=1666,6
743,143,183245=500,366491=833,1985161=1666,1985161=1666,6
744,144,183245=500,366491=833,1985161=1666,1985161=1666,6
745,145,183245=500,366491=833,1985161=1666,1985161=1666,6
746,146,183245=500,366491=833,1985161=1666,1985161=1666,6
747,147,183245=500,366491=833,1985161=1666,1985161=1666,6
748,148,183245=500,366491=833,1985161=1666,1985161=1666,6
749,149,183245=500,366491=833,1985161=1666,1985161=1666,6
750,150,183245=500,366491=833,1985161=1666,1985161=1666,6
751,151,183245=500,366491=833,1985161=1666,1985161=1666,6
752,152,183245=500,366491=833,1985161=1666,1985161=1666,6
753,153,183245=500,366491=833,1985161=1666,1985161=1666,6
754,154,183245=500,366491=833,1985161=1666,1985161=1666,6
755,155,183245=500,366491=833,1985161=1666,1985161=1666,6
756,156,183245=500,366491=833,1985161=1666,1985161=1666,6
757,157,183245=500,366491=833,1985161=1666,1985161=1666,6
758,158,183245=500,366491=833,1985161=1666,1985161=1666,6
759,159,183245=500,366491=833,1985161=1666,1985161=1666,6
760,160,183245=500,366491=833,1985161=1666,1985161=1666,6
761,161,183245=500,366491=833,1985161=1666,1985161=1666,6
762,162,183245=500,366491=833,1985161=1666,1985161=1666,6
763,163,183245=500,366491=833,1985161=1666,1985161=1666,6
764,164,183245=500,366491=833,1985161=1666,1985161=1666,6
765,165,183245=500,366491=833,1985161=1666,1985161=1666,6
766,166,183245=500,366491=833,1985161=1666,1985161=1666,6
767,167,183245=500,366491=833,1985161=1666,1985161=1666,6
768,168,183245=500,366491=833,1985161=1666,1985161=1666,6
769,169,183245=500,366491=833,1985161=1666,1985161=1666,6
770,170,183245=500,366491=833,1985161=1666,1985161=1666,6
771,171,183245=500,366491=833,1985161=1666,1985161=1666,6
772,172,183245=500,366491=833,1985161=1666,1985161=1666,6
773,173,183245=500,366491=833,1985161=1666,1985161=1666,6
774,174,183245=500,366491=833,1985161=1666,1985161=1666,6
775,175,183245=500,366491=833,1985161=1666,1985161=1666,6
776,176,183245=500,366491=833,1985161=1666,1985161=1666,6
777,177,183245=500,366491=833,1985161=1666,1985161=1666,6
778,178,183245=500,366491=833,1985161=1666,1985161=1666,6
779,179,183245=500,366491=833,1985161=1666,1985161=1666,6
780,180,183245=500,366491=833,1985161=1666,1985161=1666,6
781,181,183245=500,366491=833,1985161=1666,1985161=1666,6
782,182,183245=500,366491=833,1985161=1666,1985161=1666,6
783,183,183245=500,366491=833,1985161=1666,1985161=1666,6
784,184,183245=500,366491=833,1985161=1666,1985161=1666,6
785,185,183245=500,366491=833,1985161=1666,1985161=1666,6
786,186,183245=500,366491=833,1985161=1666,1985161=1666,6
787,187,183245=500,366491=833,1985161=1666,1985161=1666,6
788,188,183245=500,366491=833,1985161=1666,1985161=1666,6
789,189,183245=500,366491=833,1985161=1666,1985161=1666,6
790,190,183245=500,366491=833,1985161=1666,1985161=1666,6
791,191,183245=500,366491=833,1985161=1666,1985161=1666,6
792,192,183245=500,366491=833,1985161=1666,1985161=1666,6
793,193,183245=500,366491=833,1985161=1666,1985161=1666,6
794,194,183245=500,366491=833,1985161=1666,1985161=1666,6
795,195,183245=500,366491=833,1985161=1666,1985161=1666,6
796,196,183245=500,366491=833,1985161=1666,1985161=1666,6
797,197,183245=500,366491=833,1985161=1666,1985161=1666,6
798,198,183245=500,366491=833,1985161=1666,1985161=1666,6
799,199,183245=500,366491=833,1985161=1666,1985161=1666,6
800,200,183245=500,366491=833,1985161=1666,1985161=1666,6
801,1,79=1|127=2|170=4,237=3|297=4|340=7,1902=6|5525=9|15300=13,1902=6|5525=9|15300=13,7
802,2,139=1|224=3|298=5,418=4|522=6|597=10,3342=9|9710=12|26890=18,3342=9|9710=12|26890=18,7
803,3,247=2|398=4|530=6,742=5|928=7|1061=11,5937=10|17245=14|47760=21,5937=10|17245=14|47760=21,7
804,4,269=2|432=4|577=7,807=6|1009=8|1154=13,6456=12|18755=16|51930=24,6456=12|18755=16|51930=24,7
805,5,377=2|606=5|808=8,1131=6|1415=9|1617=14,9051=13|26290=18|72800=27,9051=13|26290=18|72800=27,7
806,6,485=3|780=5|1040=9,1456=7|1821=10|2081=16,11646=15|33825=20|93670=30,11646=15|33825=20|93670=30,7
807,7,545=3|877=6|1169=10,1636=8|2046=11|2339=17,13089=16|38010=23|105260=33,13089=16|38010=23|105260=33,7
808,8,653=3|1051=7|1401=11,1960=9|2452=12|2802=19,15684=18|45545=25|126130=36,15684=18|45545=25|126130=36,7
809,9,713=4|1147=7|1530=12,2140=10|2678=13|3060=21,17124=20|49730=27|137720=39,17124=20|49730=27|137720=39,7
810,10,1034=5|1664=10|2218=16,3103=13|3882=18|4437=28,24831=27|72110=37|199690=53,24831=27|72110=37|199690=53,7
811,11,1869=5|3006=10|4008=17,5608=14|7015=19|8017=30,44865=28|130285=39|360790=56,44865=28|130285=39|360790=56,7
812,12,2009=6|3231=11|4308=18,6028=15|7539=21|8616=32,48228=30|140020=42|387740=60,48228=30|140020=42|387740=60,7
813,13,2130=6|3424=12|4566=19,6390=16|7991=22|9132=34,51120=32|148405=44|410970=64,51120=32|148405=44|410970=64,7
814,14,2220=6|3570=13|4760=20,6662=17|8330=23|9520=36,53301=34|154705=46|428420=67,53301=34|154705=46|428420=67,7
815,15,2709=7|4355=13|5807=22,8128=18|10162=24|11614=38,65028=36|188730=49|522640=71,65028=36|188730=49|522640=71,7
816,16,2870=7|4589=14|6119=23,8612=19|10709=26|12238=40,68898=38|198880=52|550750=75,68898=38|198880=52|550750=75,7
817,17,2973=8|4746=15|6328=24,8921=20|11074=27|12656=42,71370=40|205675=55|569560=79,71370=40|205675=55|569560=79,7
818,18,3109=8|4959=16|6612=25,9327=21|11571=28|13225=45,74616=42|214905=57|595120=83,74616=42|214905=57|595120=83,7
819,19,3211=8|5117=16|6823=26,9633=22|11941=30|13647=47,77064=44|221765=60|614120=87,77064=44|221765=60|614120=87,7
820,20,3365=9|5360=17|7147=28,10096=23|12508=31|14295=49,80766=46|232300=63|643290=91,80766=46|232300=63|643290=91,7
821,21,3508=9|5584=18|7445=29,10525=24|13029=33|14891=51,84201=48|241980=66|670110=95,84201=48|241980=66|670110=95,7
822,22,3628=10|5774=19|7698=30,10884=25|13472=34|15397=53,87078=50|250210=69|692890=99,87078=50|250210=69|692890=99,7
823,23,3713=10|5909=19|7879=31,11141=26|13789=35|15759=55,89127=52|256085=71|709160=103,89127=52|256085=71|709160=103,7
824,24,3831=10|6098=20|8131=33,11495=27|14230=37|16262=58,91962=54|264270=74|731830=108,91962=54|264270=74|731830=108,7
825,25,4080=11|6496=21|8661=34,12242=28|15158=38|17323=60,97935=57|281505=77|779560=112,97935=57|281505=77|779560=112,7
826,26,4232=11|6737=22|8983=36,12696=29|15720=40|17966=63,101568=59|291950=81|808480=117,101568=59|291950=81|808480=117,7
827,27,4336=12|6905=23|9206=37,13010=30|16111=42|18413=65,104082=61|299220=84|828610=121,104082=61|299220=84|828610=121,7
828,28,4443=12|7075=24|9434=38,13331=32|16510=43|18868=67,106653=64|306620=87|849100=126,106653=64|306620=87|849100=126,7
829,29,4502=13|7170=25|9561=40,13508=33|16731=45|19122=70,108069=66|310730=90|860490=130,108069=66|310730=90|860490=130,7
830,30,5439=18|8662=34|11550=55,16317=45|20212=62|23100=97,130542=91|375380=125|1039520=181,130542=91|375380=125|1039520=181,7
831,31,5563=18|8776=35|11701=57,16691=47|20478=64|23403=100,133530=94|380310=128|1053170=185,133530=94|380310=128|1053170=185,7
832,32,5646=19|8907=36|11876=58,16938=48|20784=65|23753=102,135510=96|385990=131|1068890=190,135510=96|385990=131|1068890=190,7
833,33,5799=19|9151=37|12202=60,17398=49|21353=67|24404=105,139191=99|396565=135|1098180=195,139191=99|396565=135|1098180=195,7
834,34,5883=20|9284=38|12379=61,17650=50|21664=69|24759=107,141201=101|402330=138|1114150=200,141201=101|402330=138|1114150=200,7
835,35,6308=20|11353=39|15137=63,18925=52|26490=71|30275=110,151407=104|491975=142|1362390=205,151407=104|491975=142|1362390=205,7
836,36,6393=21|11492=40|15323=64,19180=53|26816=72|30647=113,153441=106|498025=145|1379150=210,153441=106|498025=145|1379150=210,7
837,37,6559=21|11764=41|15685=66,19678=54|27449=74|31370=116,157425=109|509770=149|1411680=215,157425=109|509770=149|1411680=215,7
838,38,6645=22|12870=42|17161=68,19935=56|30032=77|34322=120,159480=112|557740=154|1544510=223,159480=112|557740=154|1544510=223,7
839,39,6730=22|13014=44|17352=70,20192=57|30366=79|34704=123,161541=114|563940=158|1561690=228,161541=114|563940=158|1561690=228,7
840,40,10066=35|15906=60|21209=96,30200=88|37116=108|42418=168,241599=177|689295=216|1908820=312,241599=177|689295=216|1908820=312,7
841,41,10296=36|17555=63|23407=102,30890=90|40963=114|46814=178,247125=181|760740=229|2106670=332,247125=181|760740=229|2106670=332,7
842,42,10631=37|18155=65|24206=104,31893=92|42361=118|48413=183,255147=185|786720=236|2178610=341,255147=185|786720=236|2178610=341,7
843,43,10884=37|18622=67|24829=107,32654=94|43452=121|49659=188,261234=189|806970=242|2234690=350,261234=189|806970=242|2234690=350,7
844,44,11133=38|19079=69|25439=110,33399=97|44519=124|50878=193,267195=194|826780=248|2289540=359,267195=194|826780=248|2289540=359,7
845,45,11827=40|20692=72|27589=115,35483=101|48282=130|55179=202,283866=202|896670=260|2483090=375,283866=202|896670=260|2483090=375,7
846,46,12149=41|21396=75|28528=120,36449=104|49925=135|57057=210,291591=209|927190=271|2567600=391,291591=209|927190=271|2567600=391,7
847,47,12440=42|21943=77|29257=123,37322=107|51200=139|58515=216,298581=214|950865=278|2633170=401,298581=214|950865=278|2633170=401,7
848,48,12933=43|22895=79|30527=126,38801=109|53422=142|61054=221,310410=219|992135=284|2747460=411,310410=219|992135=284|2747460=411,7
849,49,13202=44|23409=81|31212=129,39608=112|54621=145|62424=226,316863=224|1014390=291|2809090=421,316863=224|1014390=291|2809090=421,7
850,50,15761=47|25471=84|33962=134,47283=118|59434=151|67924=235,378267=237|1103775=303|3056620=437,378267=237|1103775=303|3056620=437,7
851,51,16195=48|26335=86|35113=138,48586=121|61449=155|70227=241,388695=242|1141195=311|3160240=449,388695=242|1141195=311|3160240=449,7
852,52,16275=49|26466=88|35289=141,48825=124|61756=159|70578=247,390600=248|1146895=318|3176020=459,390600=248|1146895=318|3176020=459,7
853,53,16341=50|26577=90|35436=144,49025=126|62014=162|70873=253,392205=253|1151700=325|3189320=470,392205=253|1151700=325|3189320=470,7
854,54,16548=51|26923=92|35897=147,49644=129|62820=166|71794=258,397152=258|1166665=332|3230770=480,397152=258|1166665=332|3230770=480,7
855,55,17644=58|29256=96|39008=154,52934=145|68265=173|78017=269,423474=291|1267780=346|3510780=500,423474=291|1267780=346|3510780=500,7
856,56,17778=59|29589=98|39452=157,53334=148|69041=177|78904=276,426675=297|1282200=355|3550710=513,426675=297|1282200=355|3550710=513,7
857,57,18043=60|38382=100|51177=161,54131=151|89559=181|102354=282,433053=303|1663255=362|4605930=524,433053=303|1663255=362|4605930=524,7
858,58,18230=61|38735=108|51647=173,54692=154|90383=194|103295=303,437535=309|1678550=389|4648290=563,437535=309|1678550=389|4648290=563,7
859,59,18319=63|38901=115|51868=185,54959=157|90770=208|103737=324,439674=315|1685730=416|4668170=601,439674=315|1685730=416|4668170=601,7
860,60,26449=66|41120=119|54827=190,79349=165|95947=214|109654=333,634794=331|1781880=428|4934440=619,634794=331|1781880=428|4934440=619,7
861,61,26063=66|41397=121|55197=194,78191=165|96595=218|110394=339,625533=331|1793910=436|4967750=631,625533=331|1793910=436|4967750=631,7
862,62,26251=70|41698=123|55598=197,78754=176|97296=222|111196=346,630033=353|1806940=445|5003830=642,630033=353|1806940=445|5003830=642,7
863,63,26445=76|42126=128|56168=205,79335=191|98294=231|112336=360,634683=382|1825465=463|5055140=669,634683=382|1825465=463|5055140=669,7
864,64,26620=77|42406=131|56542=209,79861=194|98949=235|113084=367,638889=389|1837620=471|5088800=681,638889=389|1837620=471|5088800=681,7
865,65,28059=83|45628=141|60837=225,84177=208|106465=253|121675=395,673416=416|1977220=507|5475370=733,673416=416|1977220=507|5475370=733,7
866,66,28344=84|46143=144|61524=230,85032=212|107667=259|123049=403,680259=424|1999545=518|5537200=748,680259=424|1999545=518|5537200=748,7
867,67,28831=88|46929=149|62572=239,86493=220|109501=269|125144=419,691944=440|2033600=539|5631510=778,691944=440|2033600=539|5631510=778,7
868,68,29094=89|48142=153|64190=245,87283=224|112333=275|128381=428,698265=449|2086190=551|5777140=796,698265=449|2086190=551|5777140=796,7
869,69,29728=91|48560=156|64747=249,89185=229|113307=281|129494=437,713484=458|2104280=562|5827240=812,713484=458|2104280=562|5827240=812,7
870,70,31639=115|69103=240|92138=384,94917=288|161242=432|184277=672,759336=576|2994500=864|8292460=1248,759336=576|2994500=864|8292460=1248,7
871,71,32213=117|70554=244|94072=391,96641=293|164627=440|188145=684,773133=587|3057355=880|8466530=1271,773133=587|3057355=880|8466530=1271,7
872,72,33771=119|74471=249|99295=399,101313=299|173767=449|198591=698,810507=599|3227105=898|8936600=1297,810507=599|3227105=898|8936600=1297,7
873,73,35042=122|87452=263|116603=421,105128=305|204055=473|233206=736,841029=611|3789595=947|10494270=1368,841029=611|3789595=947|10494270=1368,7
874,74,40237=124|89511=277|119349=443,120712=311|208860=498|238698=775,965697=622|3878845=997|10741410=1440,965697=622|3878845=997|10741410=1440,7
875,75,43730=149|95862=284|127816=455,131191=374|223679=512|255633=797,1049526=749|4154045=1025|11503510=1481,1049526=749|4154045=1025|11503510=1481,7
876,76,45497=159|100084=292|133446=468,136492=398|233530=527|266892=820,1091937=796|4337000=1054|12010160=1523,1091937=796|4337000=1054|12010160=1523,7
877,77,48760=161|101408=297|135211=476,146281=404|236619=535|270422=833,1170255=809|4394365=1071|12169020=1548,1170255=809|4394365=1071|12169020=1548,7
878,78,49186=164|102507=303|136676=485,147558=411|239183=545|273352=849,1180464=823|4441980=1091|12300870=1577,1180464=823|4441980=1091|12300870=1577,7
879,79,49842=167|103356=308|137808=493,149526=418|241164=554|275616=863,1196208=836|4478765=1109|12402740=1603,1196208=836|4478765=1109|12402740=1603,7
880,80,62732=182|120474=336|160632=538,188197=456|281107=605|321265=941,1505580=913|5220560=1210|14456940=1749,1505580=913|5220560=1210|14456940=1749,7
881,81,63158=185|121454=341|161939=546,189475=464|283394=615|323878=956,1515804=928|5263030=1230|14574550=1777,1515804=928|5263030=1230|14574550=1777,7
882,82,64828=188|128817=347|171757=556,194486=471|300575=625|343514=973,1555890=942|5582110=1251|15458150=1807,1555890=942|5582110=1251|15458150=1807,7
883,83,65375=191|129813=363|173085=581,196126=479|302899=654|346170=1017,1569009=958|5625265=1308|15577660=1889,1569009=958|5625265=1308|15577660=1889,7
884,84,70358=194|132710=373|176947=597,211076=486|309657=672|353894=1046,1688610=973|5750780=1344|15925240=1942,1688610=973|5750780=1344|15925240=1942,7
885,85,71637=203|135151=382|180201=612,214913=509|315353=688|360403=1071,1719309=1018|5856560=1377|16218170=1989,1719309=1018|5856560=1377|16218170=1989,7
886,86,72145=209|136314=388|181752=621,216436=523|318066=699|363504=1087,1731486=1046|5906945=1398|16357700=2019,1731486=1046|5906945=1398|16357700=2019,7
887,87,72949=212|138323=394|184431=631,218847=531|322755=710|368863=1105,1750782=1062|5994030=1421|16598850=2052,1750782=1062|5994030=1421|16598850=2052,7
888,88,74898=215|141698=401|188931=641,224695=539|330629=721|377862=1123,1797564=1078|6140260=1443|17003800=2085,1797564=1078|6140260=1443|17003800=2085,7
889,89,75722=219|153683=407|204911=652,227168=547|358595=733|409823=1141,1817346=1095|6659635=1467|18442060=2119,1817346=1095|6659635=1467|18442060=2119,7
890,90,81405=224|164859=418|219812=670,244216=560|384672=754|439625=1173,1953726=1120|7143915=1508|19783150=2178,1953726=1120|7143915=1508|19783150=2178,7
891,91,82143=227|166625=425|222167=680,246430=568|388793=765|444335=1190,1971438=1137|7220445=1531|19995080=2211,1971438=1137|7220445=1531|19995080=2211,7
892,92,82993=231|175936=431|234581=689,248979=577|410518=775|469163=1206,1991835=1155|7623910=1551|21112370=2241,1991835=1155|7623910=1551|21112370=2241,7
893,93,88240=234|178610=448|238147=718,264721=586|416758=808|476295=1257,2117769=1172|7739795=1616|21433290=2334,2117769=1172|7739795=1616|21433290=2334,7
894,94,89014=240|180578=455|240770=729,267042=601|421349=820|481541=1276,2136342=1203|7825050=1641|21669370=2370,2136342=1203|7825050=1641|21669370=2370,7
895,95,108388=282|201024=530|268033=848,325166=705|469058=955|536066=1485,2601330=1411|8711080=1910|24122990=2759,2601330=1411|8711080=1910|24122990=2759,7
896,96,109195=299|203135=563|270847=902,327585=749|473982=1014|541694=1578,2620680=1498|8802530=2029|24376240=2931,2620680=1498|8802530=2029|24376240=2931,7
897,97,110552=320|205865=603|274487=965,331656=802|480353=1085|548975=1689,2653248=1604|8920850=2171|24703900=3137,2653248=1604|8920850=2171|24703900=3137,7
898,98,111236=332|207781=625|277041=1000,333709=831|484823=1125|554083=1751,2669679=1662|9003860=2251|24933770=3252,2669679=1662|9003860=2251|24933770=3252,7
899,99,120636=348|210316=654|280422=1047,361909=870|490739=1178|560844=1833,2895276=1741|9113720=2357|25238000=3405,2895276=1741|9113720=2357|25238000=3405,7
900,100,132219=368|226588=692|302117=1107,396659=922|528706=1246|604235=1938,3173277=1844|9818825=2492|27190600=3600,3173277=1844|9818825=2492|27190600=3600,7
901,101,134005=377|229649=708|306198=1134,402017=944|535848=1276|612397=1985,3216144=1889|9951470=2553|27557920=3688,3216144=1889|9951470=2553|27557920=3688,7
902,102,135931=379|232949=714|310599=1142,407795=951|543549=1286|621199=2000,3262365=1903|10094490=2572|27953980=3716,3262365=1903|10094490=2572|27953980=3716,7
903,103,137748=382|236064=719|314751=1150,413247=958|550816=1295|629504=2014,3305985=1916|10229455=2590|28327730=3742,3305985=1916|10229455=2590|28327730=3742,7
904,104,139695=385|239400=725|319199=1160,419087=966|558601=1305|638400=2030,3352704=1932|10374020=2611|28728060=3772,3352704=1932|10374020=2611|28728060=3772,7
905,105,145746=389|249770=732|333026=1171,437241=975|582797=1318|666054=2050,3497931=1951|10823385=2636|29972460=3809,3497931=1951|10823385=2636|29972460=3809,7
906,106,147493=391|252764=735|337019=1176,442483=979|589785=1324|674040=2059,3539874=1959|10953160=2648|30331840=3826,3539874=1959|10953160=2648|30331840=3826,7
907,107,149251=392|255777=738|341036=1180,447757=983|596815=1329|682074=2067,3582066=1967|11083710=2658|30693360=3840,3582066=1967|11083710=2658|30693360=3840,7
908,108,151030=393|258826=739|345100=1182,453094=985|603928=1331|690203=2070,3624756=1970|11215805=2662|31059160=3846,3624756=1970|11215805=2662|31059160=3846,7
909,109,152819=394|261892=740|349189=1185,458461=987|611082=1334|698379=2075,3667698=1974|11348670=2668|31427100=3854,3667698=1974|11348670=2668|31427100=3854,7
910,110,155723=414|266868=779|355824=1246,467172=1038|622693=1403|711649=2183,3737385=2077|11564305=2807|32024240=4055,3737385=2077|11564305=2807|32024240=4055,7
911,111,157543=415|269987=780|359983=1249,472633=1040|629972=1406|719968=2186,3781074=2080|11699490=2812|32398600=4062,3781074=2080|11699490=2812|32398600=4062,7
912,112,159364=415|273107=782|364143=1251,478095=1042|637251=1408|728287=2190,3824766=2084|11834675=2817|32772960=4069,3824766=2084|11834675=2817|32772960=4069,7
913,113,161205=416|276262=783|368350=1253,483618=1044|644614=1410|736701=2194,3868953=2088|11971405=2821|33151590=4076,3868953=2088|11971405=2821|33151590=4076,7
914,114,163067=417|279453=785|372604=1256,489204=1046|652059=1414|745210=2199,3913641=2092|12109680=2828|33534510=4085,3913641=2092|12109680=2828|33534510=4085,7
915,115,168644=418|289011=787|385348=1259,505935=1049|674360=1417|770697=2205,4047492=2098|12523840=2835|34681420=4096,4047492=2098|12523840=2835|34681420=4096,7
916,116,170423=418|292059=787|389412=1259,511272=1049|681473=1418|778826=2205,4090182=2098|12655935=2836|35047220=4097,4090182=2098|12655935=2836|35047220=4097,7
917,117,172212=418|295125=787|393500=1260,516639=1049|688628=1418|787002=2206,4133124=2099|12788805=2836|35415160=4098,4133124=2099|12788805=2836|35415160=4098,7
918,118,174011=418|298209=787|397612=1260,522038=1049|695824=1418|795226=2206,4176312=2099|12922445=2837|35785240=4098,4176312=2099|12922445=2837|35785240=4098,7
919,119,175832=419|301329=787|401772=1260,527499=1049|703103=1418|803545=2206,4220001=2099|13057630=2837|36159600=4099,4220001=2099|13057630=2837|36159600=4099,7
920,120,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
921,121,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
922,122,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
923,123,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
924,124,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
925,125,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
926,126,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
927,127,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
928,128,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
929,129,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
930,130,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
931,131,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
932,132,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
933,133,178406=420|305740=791|407653=1266,535221=1054|713395=1425|815308=2216,4281774=2109|13248760=2850|36688890=4117,4281774=2109|13248760=2850|36688890=4117,7
