【此数据覆盖用户数TOP300机型，以benchmark分数进行排名，并进行分档分类】只关心档位和型号，档位1最高，4最低,,,,,,,,,,,,,,,,,,,,,,
综合分排名,综合评分,档位,用户占比排名,用户占比(%),手机名,型号,厂商,CPU名,CPU型号,核心数,CPU频率,内存(GB),启用Zram,GPU名,GPU频率,是否降频设备,OpenGL_es,Vulkan,安卓7.0以上用户比例,分辨率,异形屏,CPU位数
276,76.01,0,181,0.11,OPPO A53（全网通）,OPPO A53,OPPO,高通 骁龙615,MSM8939,8,1500,2,否,Adreno405,550,1,3.1,已计划支持,0,1280x720,否,64
277,76.01,0,155,0.13,华为麦芒4（RIO-AL00/高配版/全网通）,HUAWEI RIO-AL00,华为,高通 骁龙615,MSM8939,8,1500,3,是,Adreno405,550,1,3.1,已计划支持,0,1920x1080,否,64
278,76.01,0,234,0.08,荣耀7i（ATH-AL00/全网通）,ATH-AL00,华为,高通 骁龙615,MSM8939,8,1500,3,是,Adreno405,550,1,3.1,已计划支持,0,1920x1080,否,64
279,76.01,0,229,0.08,OPPO R1C（R8207/移动4G）,R8207,OPPO,高通 骁龙615,MSM8939,8,1400,2,否,Adreno405,550,1,3.1,已计划支持,0,1280x720,否,64
280,72.12,0,299,0.04,华为Mate 7（MT7-TL10/高配版/双4G）,HUAWEI MT7-TL10,华为,海思 麒麟 925,Kirin925,8,1800,2,否,Mali-T628MP4,600,1,3.1,不适用,0,1920x1080,否,32
281,72.12,0,176,0.11,荣耀畅玩5X（KIW-AL10/标配版/全网通）,KIW-AL10,华为,高通 骁龙616,MSM8939v2,8,1500,3,是,Adreno405,550,1,3.1,已计划支持,0,1920x1080,否,64
282,72.12,0,290,0.05,荣耀畅玩5X（KIW-TL00/移动4G）,KIW-TL00H,华为,高通 骁龙616,MSM8939v2,8,1500,2,否,Adreno405,550,1,3.1,已计划支持,0,1920x1080,否,64
283,72.12,0,241,0.07,荣耀畅玩5X（KIW-TL00/移动4G）,KIW-TL00,华为,高通 骁龙616,MSM8939v2,8,1500,2,否,Adreno405,550,1,3.1,已计划支持,0,1920x1080,否,64
284,66.8,1,224,0.08,小米红米Note 增强版,HM NOTE 1S,小米,联发科MT6592,MT6592,8,1300,2,是,Mali-450MP4,700,1,2,不适用,0,1280x720,否,32
285,65.95,1,272,0.05,荣耀7（PLK-TL01H/移动4G）,PLK-TL01H,华为,海思 麒麟 935,Kirin935,8,2200,3,是,Mali-T628MP4,680,1,3.1,不适用,0,1920x1080,否,64
286,65.95,1,222,0.09,荣耀7（PLK-AL10/全网通）,PLK-AL10,华为,海思 麒麟 935,Kirin935,8,2200,3,是,Mali-T628MP4,680,1,3.1,不适用,0,1920x1080,否,64
287,65.95,1,233,0.08,华为P8,P8,NULL,海思 麒麟 935,Kirin935,8,--,3,--,Mali-T628MP4,680,0,3.1,不适用,0.000268,1920x1080,否,64
288,64.7,0,293,0.05,vivo Y27,VIVO Y27,VIVO,高通 骁龙410,MSM8916,4,1200,1,否,Adreno306,400,0,3,不适用,0,1280x720,否,64
289,64.7,0,141,0.15,OPPO A31,A31,OPPO,高通 骁龙410,MSM8916,4,1200,1,否,Adreno306,400,0,3,不适用,0,854x480,否,64
290,64.7,0,278,0.05,vivo Y23L,VIVO Y23L,VIVO,高通 骁龙410,MSM8916,4,1200,1,否,Adreno306,400,1,3,不适用,0,854x480,否,64
291,64.7,0,201,0.1,vivo Y31A,VIVO Y31,VIVO,高通 骁龙410,MSM8916,4,1200,1,是,Adreno306,400,0,3,不适用,0,960x540,否,64
292,64.7,0,115,0.22,OPPO A33（移动4G）,OPPO A33M,OPPO,高通 骁龙410,MSM8916,4,1200,2,否,Adreno306,400,0,3,不适用,0,960x540,否,64
293,64.7,0,300,0.04,vivo Y51L（高配版/移动4G）,VIVO Y51T L,VIVO,高通 骁龙410,MSM8916,4,1200,2,否,Adreno306,400,0,3,不适用,0,960x540,否,64
294,64.7,0,254,0.06,vivo Y35A (全网通),VIVO Y35A,VIVO,高通 骁龙410,MSM8916,4,1200,2,否,Adreno306,400,0,3,不适用,0,1280x720,否,64
295,64.7,0,68,0.38,vivo Y51,VIVO Y51,VIVO,高通 骁龙410,MSM8916,4,1200,2,否,Adreno306,400,0,3,不适用,0,960x540,否,64
296,64.7,0,63,0.39,vivo Y51A（高配版/全网通）,VIVO Y51A,VIVO,高通 骁龙410,MSM8916,4,1200,2,否,Adreno306,400,0,3,不适用,0,960x540,否,64
297,64.7,0,62,0.41,OPPO A33（全网通）,OPPO A33,OPPO,高通 骁龙410,MSM8916,4,1200,2,否,Adreno306,400,0,3,不适用,0,960x540,否,64
298,64.7,0,156,0.13,vivo Y31A,VIVO Y31A,VIVO,高通 骁龙410,MSM8916,4,1200,1,是,Adreno306,400,0,3,不适用,0,960x540,否,64
299,62.36,0,261,0.06,小米红米Note（单卡/增强版/联通4G/2GB RAM）899,HM NOTE 1LTE,小米,高通 骁龙400,MSM8928,4,1600,2,否,Adreno305,450,1,3,不适用,0,1280x720,否,32
300,57.3,0,249,0.06,小米红米2A,HM 2A,小米,联芯 L1860C,L1860C,1,1500,1,是,Mali-T628MP2,522,1,3.1,不适用,0,1280x720,否,32
