VehicleQuality,Attr1,Attr2,Attr3,Attr4,Attr5
856,0=27=245,0=36=245,0=47=1631,0=28=680,0=37=680
857,0=27=245,0=36=245,0=47=1632,0=28=680,0=37=680
858,0=27=245,0=36=245,0=47=1633,0=28=690,0=37=690
859,0=27=246,0=36=246,0=47=1635,0=28=690,0=37=690
860,0=27=246,0=36=246,0=47=1636,0=28=690,0=37=690
861,0=27=246,0=36=246,0=47=1637,0=28=690,0=37=690
862,0=27=246,0=36=246,0=47=1638,0=28=690,0=37=690
863,0=27=246,0=36=246,0=47=1639,0=28=690,0=37=690
864,0=27=246,0=36=246,0=47=1640,0=28=690,0=37=690
865,0=27=247,0=36=247,0=47=1641,0=28=690,0=37=690
866,0=27=247,0=36=247,0=47=1642,0=28=690,0=37=690
867,0=27=247,0=36=247,0=47=1644,0=28=690,0=37=690
868,0=27=247,0=36=247,0=47=1645,0=28=690,0=37=690
869,0=27=247,0=36=247,0=47=1646,0=28=690,0=37=690
870,0=27=247,0=36=247,0=47=1647,0=28=690,0=37=690
871,0=27=248,0=36=248,0=47=1648,0=28=690,0=37=690
872,0=27=248,0=36=248,0=47=1649,0=28=690,0=37=690
873,0=27=248,0=36=248,0=47=1650,0=28=690,0=37=690
874,0=27=248,0=36=248,0=47=1651,0=28=690,0=37=690
875,0=27=248,0=36=248,0=47=1652,0=28=690,0=37=690
876,0=27=248,0=36=248,0=47=1654,0=28=690,0=37=690
877,0=27=249,0=36=249,0=47=1655,0=28=690,0=37=690
878,0=27=249,0=36=249,0=47=1656,0=28=690,0=37=690
879,0=27=249,0=36=249,0=47=1657,0=28=700,0=37=700
880,0=27=249,0=36=249,0=47=1658,0=28=700,0=37=700
881,0=27=249,0=36=249,0=47=1659,0=28=700,0=37=700
882,0=27=249,0=36=249,0=47=1660,0=28=700,0=37=700
883,0=27=250,0=36=250,0=47=1661,0=28=700,0=37=700
884,0=27=250,0=36=250,0=47=1663,0=28=700,0=37=700
885,0=27=250,0=36=250,0=47=1664,0=28=700,0=37=700
886,0=27=250,0=36=250,0=47=1665,0=28=700,0=37=700
887,0=27=250,0=36=250,0=47=1666,0=28=700,0=37=700
888,0=27=250,0=36=250,0=47=1667,0=28=700,0=37=700
889,0=27=251,0=36=251,0=47=1668,0=28=700,0=37=700
890,0=27=251,0=36=251,0=47=1669,0=28=700,0=37=700
891,0=27=251,0=36=251,0=47=1670,0=28=700,0=37=700
892,0=27=251,0=36=251,0=47=1672,0=28=700,0=37=700
893,0=27=251,0=36=251,0=47=1673,0=28=700,0=37=700
894,0=27=251,0=36=251,0=47=1674,0=28=700,0=37=700
895,0=27=252,0=36=252,0=47=1675,0=28=700,0=37=700
896,0=27=252,0=36=252,0=47=1676,0=28=700,0=37=700
897,0=27=252,0=36=252,0=47=1677,0=28=700,0=37=700
898,0=27=252,0=36=252,0=47=1678,0=28=700,0=37=700
899,0=27=252,0=36=252,0=47=1679,0=28=700,0=37=700
900,0=27=252,0=36=252,0=47=1680,0=28=700,0=37=700
901,0=27=253,0=36=253,0=47=1682,0=28=710,0=37=710
902,0=27=253,0=36=253,0=47=1683,0=28=710,0=37=710
903,0=27=253,0=36=253,0=47=1684,0=28=710,0=37=710
904,0=27=253,0=36=253,0=47=1685,0=28=710,0=37=710
905,0=27=253,0=36=253,0=47=1686,0=28=710,0=37=710
906,0=27=254,0=36=254,0=47=1687,0=28=710,0=37=710
907,0=27=254,0=36=254,0=47=1688,0=28=710,0=37=710
908,0=27=254,0=36=254,0=47=1689,0=28=710,0=37=710
909,0=27=254,0=36=254,0=47=1691,0=28=710,0=37=710
910,0=27=254,0=36=254,0=47=1692,0=28=710,0=37=710
911,0=27=254,0=36=254,0=47=1693,0=28=710,0=37=710
912,0=27=255,0=36=255,0=47=1694,0=28=710,0=37=710
913,0=27=255,0=36=255,0=47=1695,0=28=710,0=37=710
914,0=27=255,0=36=255,0=47=1696,0=28=710,0=37=710
915,0=27=255,0=36=255,0=47=1697,0=28=710,0=37=710
916,0=27=255,0=36=255,0=47=1698,0=28=710,0=37=710
917,0=27=255,0=36=255,0=47=1700,0=28=710,0=37=710
918,0=27=256,0=36=256,0=47=1701,0=28=710,0=37=710
919,0=27=256,0=36=256,0=47=1702,0=28=710,0=37=710
920,0=27=256,0=36=256,0=47=1703,0=28=710,0=37=710
921,0=27=256,0=36=256,0=47=1704,0=28=710,0=37=710
922,0=27=256,0=36=256,0=47=1705,0=28=720,0=37=720
923,0=27=256,0=36=256,0=47=1706,0=28=720,0=37=720
924,0=27=257,0=36=257,0=47=1707,0=28=720,0=37=720
925,0=27=257,0=36=257,0=47=1708,0=28=720,0=37=720
926,0=27=257,0=36=257,0=47=1710,0=28=720,0=37=720
927,0=27=257,0=36=257,0=47=1711,0=28=720,0=37=720
928,0=27=257,0=36=257,0=47=1712,0=28=720,0=37=720
929,0=27=257,0=36=257,0=47=1713,0=28=720,0=37=720
930,0=27=258,0=36=258,0=47=1714,0=28=720,0=37=720
931,0=27=258,0=36=258,0=47=1715,0=28=720,0=37=720
932,0=27=258,0=36=258,0=47=1716,0=28=720,0=37=720
933,0=27=258,0=36=258,0=47=1717,0=28=720,0=37=720
934,0=27=258,0=36=258,0=47=1719,0=28=720,0=37=720
935,0=27=258,0=36=258,0=47=1720,0=28=720,0=37=720
936,0=27=259,0=36=259,0=47=1721,0=28=720,0=37=720
937,0=27=259,0=36=259,0=47=1722,0=28=720,0=37=720
938,0=27=259,0=36=259,0=47=1723,0=28=720,0=37=720
939,0=27=259,0=36=259,0=47=1724,0=28=720,0=37=720
940,0=27=259,0=36=259,0=47=1725,0=28=720,0=37=720
941,0=27=259,0=36=259,0=47=1726,0=28=720,0=37=720
942,0=27=260,0=36=260,0=47=1728,0=28=720,0=37=720
943,0=27=260,0=36=260,0=47=1729,0=28=730,0=37=730
944,0=27=260,0=36=260,0=47=1730,0=28=730,0=37=730
945,0=27=260,0=36=260,0=47=1731,0=28=730,0=37=730
946,0=27=260,0=36=260,0=47=1732,0=28=730,0=37=730
947,0=27=260,0=36=260,0=47=1733,0=28=730,0=37=730
948,0=27=261,0=36=261,0=47=1734,0=28=730,0=37=730
949,0=27=261,0=36=261,0=47=1735,0=28=730,0=37=730
950,0=27=261,0=36=261,0=47=1736,0=28=730,0=37=730
951,0=27=261,0=36=261,0=47=1738,0=28=730,0=37=730
952,0=27=261,0=36=261,0=47=1739,0=28=730,0=37=730
953,0=27=261,0=36=261,0=47=1740,0=28=730,0=37=730
954,0=27=262,0=36=262,0=47=1741,0=28=730,0=37=730
955,0=27=262,0=36=262,0=47=1742,0=28=730,0=37=730
956,0=27=262,0=36=262,0=47=1743,0=28=730,0=37=730
957,0=27=262,0=36=262,0=47=1744,0=28=730,0=37=730
958,0=27=262,0=36=262,0=47=1745,0=28=730,0=37=730
959,0=27=262,0=36=262,0=47=1747,0=28=730,0=37=730
960,0=27=263,0=36=263,0=47=1748,0=28=730,0=37=730
961,0=27=263,0=36=263,0=47=1749,0=28=730,0=37=730
962,0=27=263,0=36=263,0=47=1750,0=28=730,0=37=730
963,0=27=263,0=36=263,0=47=1751,0=28=730,0=37=730
964,0=27=263,0=36=263,0=47=1752,0=28=730,0=37=730
965,0=27=263,0=36=263,0=47=1753,0=28=740,0=37=740
966,0=27=264,0=36=264,0=47=1754,0=28=740,0=37=740
967,0=27=264,0=36=264,0=47=1756,0=28=740,0=37=740
968,0=27=264,0=36=264,0=47=1757,0=28=740,0=37=740
969,0=27=264,0=36=264,0=47=1758,0=28=740,0=37=740
970,0=27=264,0=36=264,0=47=1759,0=28=740,0=37=740
971,0=27=264,0=36=264,0=47=1760,0=28=740,0=37=740
972,0=27=265,0=36=265,0=47=1761,0=28=740,0=37=740
973,0=27=265,0=36=265,0=47=1762,0=28=740,0=37=740
974,0=27=265,0=36=265,0=47=1763,0=28=740,0=37=740
975,0=27=265,0=36=265,0=47=1764,0=28=740,0=37=740
976,0=27=265,0=36=265,0=47=1766,0=28=740,0=37=740
977,0=27=265,0=36=265,0=47=1767,0=28=740,0=37=740
978,0=27=266,0=36=266,0=47=1768,0=28=740,0=37=740
979,0=27=266,0=36=266,0=47=1769,0=28=740,0=37=740
980,0=27=266,0=36=266,0=47=1770,0=28=740,0=37=740
981,0=27=266,0=36=266,0=47=1771,0=28=740,0=37=740
982,0=27=266,0=36=266,0=47=1772,0=28=740,0=37=740
983,0=27=266,0=36=266,0=47=1773,0=28=740,0=37=740
984,0=27=267,0=36=267,0=47=1775,0=28=740,0=37=740
985,0=27=267,0=36=267,0=47=1776,0=28=740,0=37=740
986,0=27=267,0=36=267,0=47=1777,0=28=750,0=37=750
987,0=27=267,0=36=267,0=47=1778,0=28=750,0=37=750
988,0=27=267,0=36=267,0=47=1779,0=28=750,0=37=750
989,0=27=267,0=36=267,0=47=1780,0=28=750,0=37=750
990,0=27=268,0=36=268,0=47=1781,0=28=750,0=37=750
991,0=27=268,0=36=268,0=47=1782,0=28=750,0=37=750
992,0=27=268,0=36=268,0=47=1784,0=28=750,0=37=750
993,0=27=268,0=36=268,0=47=1785,0=28=750,0=37=750
994,0=27=268,0=36=268,0=47=1786,0=28=750,0=37=750
995,0=27=268,0=36=268,0=47=1787,0=28=750,0=37=750
996,0=27=269,0=36=269,0=47=1788,0=28=750,0=37=750
997,0=27=269,0=36=269,0=47=1789,0=28=750,0=37=750
998,0=27=269,0=36=269,0=47=1790,0=28=750,0=37=750
999,0=27=269,0=36=269,0=47=1791,0=28=750,0=37=750
1000,0=27=269,0=36=269,0=47=1792,0=28=750,0=37=750
1001,0=27=269,0=36=269,0=47=1794,0=28=750,0=37=750
1002,0=27=270,0=36=270,0=47=1795,0=28=750,0=37=750
1003,0=27=270,0=36=270,0=47=1796,0=28=750,0=37=750
1004,0=27=270,0=36=270,0=47=1797,0=28=750,0=37=750
1005,0=27=270,0=36=270,0=47=1798,0=28=750,0=37=750
1006,0=27=270,0=36=270,0=47=1799,0=28=750,0=37=750
1007,0=27=270,0=36=270,0=47=1800,0=28=750,0=37=750
1008,0=27=271,0=36=271,0=47=1801,0=28=760,0=37=760
1009,0=27=271,0=36=271,0=47=1803,0=28=760,0=37=760
1010,0=27=271,0=36=271,0=47=1804,0=28=760,0=37=760
1011,0=27=271,0=36=271,0=47=1805,0=28=760,0=37=760
1012,0=27=271,0=36=271,0=47=1806,0=28=760,0=37=760
1013,0=27=271,0=36=271,0=47=1807,0=28=760,0=37=760
1014,0=27=272,0=36=272,0=47=1808,0=28=760,0=37=760
1015,0=27=272,0=36=272,0=47=1809,0=28=760,0=37=760
1016,0=27=272,0=36=272,0=47=1810,0=28=760,0=37=760
1017,0=27=272,0=36=272,0=47=1812,0=28=760,0=37=760
1018,0=27=272,0=36=272,0=47=1813,0=28=760,0=37=760
1019,0=27=272,0=36=272,0=47=1814,0=28=760,0=37=760
1020,0=27=273,0=36=273,0=47=1815,0=28=760,0=37=760
1021,0=27=273,0=36=273,0=47=1816,0=28=760,0=37=760
1022,0=27=273,0=36=273,0=47=1817,0=28=760,0=37=760
1023,0=27=273,0=36=273,0=47=1818,0=28=760,0=37=760
1024,0=27=273,0=36=273,0=47=1819,0=28=760,0=37=760
1025,0=27=273,0=36=273,0=47=1820,0=28=760,0=37=760
1026,0=27=274,0=36=274,0=47=1822,0=28=760,0=37=760
1027,0=27=274,0=36=274,0=47=1823,0=28=760,0=37=760
1028,0=27=274,0=36=274,0=47=1824,0=28=760,0=37=760
1029,0=27=274,0=36=274,0=47=1825,0=28=770,0=37=770
1030,0=27=274,0=36=274,0=47=1826,0=28=770,0=37=770
1031,0=27=275,0=36=275,0=47=1827,0=28=770,0=37=770
1032,0=27=275,0=36=275,0=47=1828,0=28=770,0=37=770
1033,0=27=275,0=36=275,0=47=1829,0=28=770,0=37=770
1034,0=27=275,0=36=275,0=47=1831,0=28=770,0=37=770
1035,0=27=275,0=36=275,0=47=1832,0=28=770,0=37=770
1036,0=27=275,0=36=275,0=47=1833,0=28=770,0=37=770
1037,0=27=276,0=36=276,0=47=1834,0=28=770,0=37=770
1038,0=27=276,0=36=276,0=47=1835,0=28=770,0=37=770
1039,0=27=276,0=36=276,0=47=1836,0=28=770,0=37=770
1040,0=27=276,0=36=276,0=47=1837,0=28=770,0=37=770
1041,0=27=276,0=36=276,0=47=1838,0=28=770,0=37=770
1042,0=27=276,0=36=276,0=47=1840,0=28=770,0=37=770
1043,0=27=277,0=36=277,0=47=1841,0=28=770,0=37=770
1044,0=27=277,0=36=277,0=47=1842,0=28=770,0=37=770
1045,0=27=277,0=36=277,0=47=1843,0=28=770,0=37=770
1046,0=27=277,0=36=277,0=47=1844,0=28=770,0=37=770
1047,0=27=277,0=36=277,0=47=1845,0=28=770,0=37=770
1048,0=27=277,0=36=277,0=47=1846,0=28=770,0=37=770
1049,0=27=278,0=36=278,0=47=1847,0=28=770,0=37=770
1050,0=27=278,0=36=278,0=47=1848,0=28=770,0=37=770
1051,0=27=278,0=36=278,0=47=1850,0=28=780,0=37=780
1052,0=27=278,0=36=278,0=47=1851,0=28=780,0=37=780
1053,0=27=278,0=36=278,0=47=1852,0=28=780,0=37=780
1054,0=27=278,0=36=278,0=47=1853,0=28=780,0=37=780
1055,0=27=279,0=36=279,0=47=1854,0=28=780,0=37=780
1056,0=27=279,0=36=279,0=47=1855,0=28=780,0=37=780
1057,0=27=279,0=36=279,0=47=1856,0=28=780,0=37=780
1058,0=27=279,0=36=279,0=47=1857,0=28=780,0=37=780
1059,0=27=279,0=36=279,0=47=1859,0=28=780,0=37=780
1060,0=27=279,0=36=279,0=47=1860,0=28=780,0=37=780
1061,0=27=280,0=36=280,0=47=1861,0=28=780,0=37=780
1062,0=27=280,0=36=280,0=47=1862,0=28=780,0=37=780
1063,0=27=280,0=36=280,0=47=1863,0=28=780,0=37=780
1064,0=27=280,0=36=280,0=47=1864,0=28=780,0=37=780
1065,0=27=280,0=36=280,0=47=1865,0=28=780,0=37=780
1066,0=27=280,0=36=280,0=47=1866,0=28=780,0=37=780
1067,0=27=281,0=36=281,0=47=1868,0=28=780,0=37=780
1068,0=27=281,0=36=281,0=47=1869,0=28=780,0=37=780
1069,0=27=281,0=36=281,0=47=1870,0=28=780,0=37=780
1070,0=27=281,0=36=281,0=47=1871,0=28=780,0=37=780
1071,0=27=281,0=36=281,0=47=1872,0=28=780,0=37=780
1072,0=27=281,0=36=281,0=47=1873,0=28=790,0=37=790
1073,0=27=282,0=36=282,0=47=1874,0=28=790,0=37=790
1074,0=27=282,0=36=282,0=47=1875,0=28=790,0=37=790
1075,0=27=282,0=36=282,0=47=1876,0=28=790,0=37=790
1076,0=27=282,0=36=282,0=47=1878,0=28=790,0=37=790
1077,0=27=282,0=36=282,0=47=1879,0=28=790,0=37=790
1078,0=27=282,0=36=282,0=47=1880,0=28=790,0=37=790
1079,0=27=283,0=36=283,0=47=1881,0=28=790,0=37=790
1080,0=27=283,0=36=283,0=47=1882,0=28=790,0=37=790
1081,0=27=283,0=36=283,0=47=1883,0=28=790,0=37=790
1082,0=27=283,0=36=283,0=47=1884,0=28=790,0=37=790
1083,0=27=283,0=36=283,0=47=1885,0=28=790,0=37=790
1084,0=27=283,0=36=283,0=47=1887,0=28=790,0=37=790
1085,0=27=284,0=36=284,0=47=1888,0=28=790,0=37=790
1086,0=27=284,0=36=284,0=47=1889,0=28=790,0=37=790
1087,0=27=284,0=36=284,0=47=1890,0=28=790,0=37=790
1088,0=27=284,0=36=284,0=47=1891,0=28=790,0=37=790
1089,0=27=284,0=36=284,0=47=1892,0=28=790,0=37=790
1090,0=27=284,0=36=284,0=47=1893,0=28=790,0=37=790
1091,0=27=285,0=36=285,0=47=1894,0=28=790,0=37=790
1092,0=27=285,0=36=285,0=47=1896,0=28=790,0=37=790
1093,0=27=285,0=36=285,0=47=1897,0=28=800,0=37=800
1094,0=27=285,0=36=285,0=47=1898,0=28=800,0=37=800
1095,0=27=285,0=36=285,0=47=1899,0=28=800,0=37=800
1096,0=27=285,0=36=285,0=47=1900,0=28=800,0=37=800
1097,0=27=286,0=36=286,0=47=1901,0=28=800,0=37=800
1098,0=27=286,0=36=286,0=47=1902,0=28=800,0=37=800
1099,0=27=286,0=36=286,0=47=1903,0=28=800,0=37=800
1100,0=27=286,0=36=286,0=47=1904,0=28=800,0=37=800
