Id,SkillUuid,Level,NameDesign,Desc,Name,IsIP,TargetType,SkillTargetRangeType,SkillRangeType,SkillHatedType,SkillType,SkillDamType,IsAffectedASPD,ASPDPercent,IsAffectedASPDExtra,IsAoe,PushInterupt,SkillAttr,IsKnockBack,Length,IsRangeAttrImpact,IsRangeWeaponAttrImpact,WeaponTypeLimit,SecondWeaponTypeLimit,Limits,IsDisableCD,EffectExIDs,SkillPanelPos,SpePreSkillRequired,LinkAutoAtack,IsChangeColor,ChangeColor,InteruptSkill,IsUseArrow,IconEx,LimitScene,LimitSceneType,NeedEffectRange,IsEffectExStandalone,IsPassive,AutoBattlePRI,SkillEffectElementEnergy,EnergyTips,AnimationType,SingingAnimation,PreSkillRequired,SkillTypeIcon,Atlas,Icon,SkillDataPath,AITreeName,SkillDesc,SkillDescAdd,SimpleSkillDesc,ActiveCardDesc,AllowUI,LocalizationArea,Skill_Text,SkillID,SkillEffectNum,AttackCount,CreateBuff,PVEDamageRadio,PVEStaticDam,PVEFloatSingingTime,PVEFixSingingTime,PVECoolTime,PVEGroupCoolTimeType,PVEGroupCoolTime,PVPDamageRadio,PVPStaticDam,PVPFloatSingingTime,PVPFixSingingTime,PVPCoolTime,PVPGroupCoolTimeType,PVPGroupCoolTime,LowRange,FarRange,HatredToTarget,HatredPercentToTarget,HatredToMe,HatredPercentToMe,SkillCost,SkillElementEnergy,BattleVehicle,EffectShape,EffectRange,BreakHiding,AshByLua,CostDesc,SkillDescRep,CreateGroupBuff,Hatredcoefficient,SkillTriggerID,PVEConfigData,PVPConfigData,ServerUUIDData,CostSpiritSpheres,ScriptParameter,SkillScriptPrefix,SkillScriptPostfix,SkillGroupID
1000102001,1000102001,1,普攻,达拉蛙,,0,4,0,0,1,0,0,1,,1,0,1,0,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,达拉蛙,1000102001,1,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Dalawa|Monster_Dalawa_Attack|0|0|0,,,Monster_Dalawa/Monster_Dalawa_Attack,,1000102001
1000102002,1000102002,1,水属性攻击,达拉蛙,水属性攻击,1,4,0,0,1,0,2,0,,0,0,1,4,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,达拉蛙,1000102002,1,1,,20000,0,0,0,10,0,0,20000,0,0,0,10,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Dalawa|Monster_Dalawa_ShuiShuXingGongJi|0|0|0,,,Monster_Dalawa/Monster_Dalawa_ShuiShuXingGongJi,,1000102002
1000102003,1000102003,1,群体治愈,达拉蛙,群体治愈,0,1,3,0,2,0,2,0,,0,1,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,群体治愈,1000102003,1,999,,200,0,0,0,45,0,0,10000,0,0,0,45,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Dalawa|Monster_Dalawa_QunTiZhiYu|0|0|0,,,Monster_Dalawa/Monster_Dalawa_QunTiZhiYu,,1000102003
1000102101,1000102101,1,普攻,恶魔波利,,0,4,0,0,1,0,0,1,,1,0,1,7,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,恶魔波利,1000102101,1,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,3,100,,,,,,0,0,0,,0,,,,,,,,Monster_Emoboli|Monster_Emoboli_Attack|0|0|0,,,Monster_Emoboli/Monster_Emoboli_Attack,,1000102101
1000102102,1000102102,1,治愈术,恶魔波利,治愈术,1,1,3,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,1,,,0,0,,,,,,,,,,,,,恶魔波利,1000102102,1,1,,500,0,0,0,45,0,0,500,0,0,0,45,0,0,0,10,100,,,,,,0,0,0,,0,,,,,,,,Monster_Emoboli|Monster_Emoboli_ZhiYuShu|0|0|0,,,Monster_Emoboli/Monster_Emoboli_ZhiYuShu,,1000102102
1000102103,1000102103,1,灵魂暗击,恶魔波利,灵魂暗击,1,4,0,0,1,0,2,0,,0,0,1,7,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,恶魔波利,1000102103,1,1,,8000|8000|8000|8000|8000,0|0|0|0|0,0,0,10,0,0,8000|8000|8000|8000|8000,0|0|0|0|0,0,0,10,0,0,0,10,100,,,,,,0,0,0,,0,,,,,,,,Monster_Emoboli|Monster_Emoboli_LingHunAnJi|0|0|0,,,Monster_Emoboli/Monster_Emoboli_LingHunAnJi,,1000102103
1000102104,1000102104,1,缓速术,恶魔波利,缓速术,1,4,0,0,1,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,恶魔波利,1000102104,1,1,2002101=10000,10000,0,0,0,10,0,0,10000,0,0,0,10,0,0,0,10,100,,,,,,0,0,0,,0,,,,,,,,Monster_Emoboli|Monster_Emoboli_HuanSuShu|0|0|0,,,Monster_Emoboli/Monster_Emoboli_HuanSuShu,,1000102104
1000102105,1000102105,1,召唤,恶魔波利,召唤,0,1,3,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,恶魔波利,1000102105,1,1,,10000,0,0,0,10,0,0,10000,0,0,0,10,0,0,0,10,100,,,,,,0,0,0,,0,,,,,,,,Monster_Emoboli|Monster_Emoboli_ZhaoHuan|0|0|0,,,Monster_Emoboli/Monster_Emoboli_ZhaoHuan,,1000102105
1000102106,1000102106,1,灵魂深渊,恶魔波利,灵魂深渊,1,4,2,0,1,0,2,0,,0,0,1,7,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,恶魔波利,1000102106,1,999,2002501=10000,20000,0,0,0,10,0,0,20000,0,0,0,10,0,0,0,10,100,,,,,,0,1,0,,0,,,,,,,,Monster_Emoboli|Monster_Emoboli_LingHunShenYuan|0|0|0,,,Monster_Emoboli/Monster_Emoboli_LingHunShenYuan,,1000102106
1000102107,1000102107,1,灵魂深渊（转职试炼副本）,恶魔波利,灵魂深渊,1,4,2,0,1,0,2,0,,0,0,1,7,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,恶魔波利,1000102107,1,999,2002501=10000,20000,0,0,0,999,0,0,20000,0,0,0,999,0,0,0,10,100,,,,,,0,1,0,,0,,,,,,,,Monster_Emoboli|Monster_Emoboli_LingHunShenYuan_ZhuanZhiShiLian|0|0|0,,,Monster_Emoboli/Monster_Emoboli_LingHunShenYuan_ZhuanZhiShiLian,,1000102107
1000102108,1000102108,1,瞬间移动,恶魔波利,瞬间移动,1,1,3,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,恶魔波利,1000102108,1,1,903801=10000,10000,0,0,0,10,0,0,10000,0,0,0,10,0,0,0,10,100,,,,,,0,0,0,,0,,,,,,,,Monster_Emoboli|Monster_Emoboli_ShunJianYiDong|0|0|0,,,Monster_Emoboli/Monster_Emoboli_ShunJianYiDong,,1000102108
1000102109,1000102109,1,无限塔恶魔波利召唤,恶魔波利,召唤,0,1,3,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,恶魔波利,1000102109,1,1,,10000,0,0,0,10,0,0,10000,0,0,0,10,0,0,0,10,100,,,,,,0,0,0,,0,,,,,,,,Monster_Emoboli|Monster_Emoboli_WuXianTaZhaoHuan|0|0|0,,,Monster_Emoboli/Monster_Emoboli_WuXianTaZhaoHuan,,1000102109
1000102201,1000102201,1,普攻,巨大毒蘑菇,,0,4,0,0,1,0,0,1,,1,0,1,0,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,魔菇,1000102201,1,1,,10000,0,0,0,1,0,0,8000,0,0,0,1,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Juxingmogu|Monster_Juxingmogu_Attack|0|0|0,,,Monster_Juxingmogu/Monster_Juxingmogu_Attack,,1000102201
1000102202,1000102202,1,毒液沼泽,巨大毒蘑菇,毒液沼泽,0,4,2,0,1,0,2,0,,0,1,1,5,,0,,,,,,0,,,,1,0,,,,,,,1,,0,0,,,0,0,,,,,,,,,,,,,毒液沼泽,1000102202,1,999,,1000,0,0,2,20,0,0,1000,0,0,2,20,0,0,0,10,100,,,,,,0,1,0,,0,,,,,,,,Monster_Juxingmogu|Monster_Juxingmogu_Duyenizhao|0|0|0,,,Monster_Juxingmogu/Monster_Juxingmogu_Duyenizhao,,1000102202
1000102203,1000102203,1,蘑菇生长,巨大毒蘑菇,蘑菇生长,0,4,0,0,1,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,蘑菇生长,1000102203,1,1,,10000,0,0,0,15,0,0,10000,0,0,0,15,0,0,0,10,100,,,,,,0,0,0,,0,,,,,,,,Monster_Juxingmogu|Monster_Juxingmogu_Mogushengzhang|0|0|0,,,Monster_Juxingmogu/Monster_Juxingmogu_Mogushengzhang,,1000102203
1000102204,1000102204,1,多重攻击,巨大毒蘑菇,多重攻击,0,4,0,0,1,0,1,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,多重攻击,1000102204,1,1,,25000,0,0,0,10,0,0,25000,0,0,0,10,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Juxingmogu|Monster_Juxingmogu_Duochonggongji|0|0|0,,,Monster_Juxingmogu/Monster_Juxingmogu_Duochonggongji,,1000102204
1000102205,1000102205,1,重力冲击,巨大毒蘑菇,冲力冲击,0,1,3,0,1,0,2,0,,0,0,1,0,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,重力冲击,1000102205,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1,,30000|30000|30000|30000|30000|30000|30000|30000|30000|30000|30000|30000|30000|30000,0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,2,20,0,0,30000|30000|30000|30000|30000|30000|30000|30000|30000|30000|30000|30000|30000|30000,0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,2,20,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Juxingmogu|Monster_Juxingmogu_Zhonglichongji|0|0|0,,,Monster_Juxingmogu/Monster_Juxingmogu_Zhonglichongji,,1000102205
1000102206,1000102206,1,狂暴,巨大毒蘑菇,狂暴,0,1,3,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,蘑菇狂暴,1000102206,1,1,3005901=10000,10000,0,0,2,0,0,0,10000,0,0,2,0,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Juxingmogu|Monster_Juxingmogu_Kuangbao|0|0|0,,,Monster_Juxingmogu/Monster_Juxingmogu_Kuangbao,,1000102206
1000102301,1000102301,1,普攻,狸猫,,0,4,0,0,1,0,0,1,,1,0,1,0,,0,,,,,,1,,,,0,0,,,,,,,0,,0,0,,,0,0,,,Skill_Common,UI_Icon_Skill_Common_GongJi.png,,,对选中单体目标造成物理攻击力伤害,,,,,,狸猫,1000102301,1,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Limao|Monster_Limao_Attack|0|0|0,,,Monster_Limao/Monster_Limao_Attack,,1000102301
1000102302,1000102302,1,地属性攻击,狸猫,地属性攻击,1,4,0,0,1,0,2,1,,1,0,1,2,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,狸猫,1000102302,1,1,,20000,0,0,0,10,0,0,20000,0,0,0,10,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Limao|Monster_Limao_DiShuXingGongJi|0|0|0,,,Monster_Limao/Monster_Limao_DiShuXingGongJi,,1000102302
1000102303,1000102303,1,治愈术,狸猫,治愈术,1,2,0,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,1,,,0,0,,,Skill_Acolyte,UI_Icon_Skill_Acolyte_ZhiYuShu.png,,,狸猫家族的古法治疗技术，可恢复自身血量,,,,,,狸猫,1000102303,1,1,,500,0,0,0,45,0,0,500,0,0,0,45,0,0,0,10,100,,,,,,0,0,0,,0,,,,,,,,Monster_Limao|Monster_Limao_ZhiYuShu|0|0|0,,,Monster_Limao/Monster_Limao_ZhiYuShu,,1000102303
1000102304,1000102304,1,隐匿,狸猫,隐匿,1,1,0,0,1,0,0,1,,1,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,狸猫,1000102304,1,1,,10000,0,0,0,30,0,0,10000,0,0,0,30,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Limao|Monster_Limao_YinNi|0|0|0,,,Monster_Limao/Monster_Limao_YinNi,,1000102304
1000102305,1000102305,1,治愈术,狸猫,治愈术,1,2,0,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,1,,,0,0,,,,,,,,,,,,,狸猫,1000102305,1,1,,500,0,0,0,45,0,0,500,0,0,0,45,0,0,0,10,100,,,,,,0,0,0,,0,,,,,,,,Monster_Limao|Monster_Limao_ZhiYuShu_JingXiangFuBen|0|0|0,,,Monster_Limao/Monster_Limao_ZhiYuShu_JingXiangFuBen,,1000102305
1000102306,1000102306,1,取消变身,狸猫,取消变身,0,1,3,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,Skill_Swordman,UI_Icon_Skill_Swordman_BaTi.png,,,卸下狸猫的伪装,,,,,,狸猫,1000102306,1,1,905401=10000,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Limao|Monster_Limao_QuXiaoBianShen|0|0|0,,,Monster_Limao/Monster_Limao_QuXiaoBianShen,,1000102306
1000102401,1000102401,1,普攻,溜溜猴,,0,4,0,0,1,0,0,1,,1,0,1,0,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,溜溜猴,1000102401,1,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Liuliuhou|Monster_Liuliuhou_Attack|0|0|0,,,Monster_Liuliuhou/Monster_Liuliuhou_Attack,,1000102401
1000102402,1000102402,1,地属性攻击,溜溜猴,地属性攻击,1,4,0,0,1,0,2,1,,1,0,1,2,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,溜溜猴,1000102402,1,1,,20000,0,0,0,10,0,0,20000,0,0,0,10,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Liuliuhou|Monster_Liuliuhou_DiShuXingGongJi|0|0|0,,,Monster_Liuliuhou/Monster_Liuliuhou_DiShuXingGongJi,,1000102402
1000102501,1000102501,1,普攻,罗达蛙,,0,4,0,0,1,0,0,1,,1,0,1,0,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,罗达蛙,1000102501,1,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Luodawa|Monster_Luodawa_Attack|0|0|0,,,Monster_Luodawa/Monster_Luodawa_Attack,,1000102501
1000102502,1000102502,1,水属性攻击,罗达蛙,水属性攻击,1,4,0,0,1,0,2,1,,1,0,1,4,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,罗达蛙,1000102502,1,1,,20000,0,0,0,10,0,0,20000,0,0,0,10,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Luodawa|Monster_Luodawa_ShuiShuXingGongJi|0|0|0,,,Monster_Luodawa/Monster_Luodawa_ShuiShuXingGongJi,,1000102502
1000102601,1000102601,1,普攻,魔菇,,0,4,0,0,1,0,0,1,,1,0,1,0,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,魔菇,1000102601,1,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Mogu|Monster_Mogu_Attack|0|0|0,,,Monster_Mogu/Monster_Mogu_Attack,,1000102601
1000102602,1000102602,1,水属性攻击,魔菇,水属性攻击,1,4,0,0,1,0,2,1,,1,0,1,4,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,魔菇,1000102602,1,1,,20000,0,0,0,10,0,0,20000,0,0,0,10,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Mogu|Monster_Mogu_ShuiShuXingGongJi|0|0|0,,,Monster_Mogu/Monster_Mogu_ShuiShuXingGongJi,,1000102602
1000102603,1000102603,1,睡眠攻击,魔菇,睡眠攻击,1,4,0,0,1,0,2,1,,1,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,魔菇,1000102603,1,1,901301=10000,20000,0,0,0,10,0,0,20000,0,0,0,10,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Mogu|Monster_Mogu_ShuiMianGongJi|0|0|0,,,Monster_Mogu/Monster_Mogu_ShuiMianGongJi,,1000102603
1000102701,1000102701,1,普攻,森灵,,0,4,0,0,1,0,0,1,,1,0,1,0,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,森灵,1000102701,1,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Senling|Monster_Senling_Attack|0|0|0,,,Monster_Senling/Monster_Senling_Attack,,1000102701
1000102702,1000102702,1,地属性攻击,森灵,地属性攻击,1,4,0,0,1,0,2,0,,0,0,1,2,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,森灵,1000102702,1,1,,20000,0,0,0,10,0,0,20000,0,0,0,10,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Senling|Monster_Senling_DiShuXingGongJi|0|0|0,,,Monster_Senling/Monster_Senling_DiShuXingGongJi,,1000102702
1000102703,1000102703,1,反伤刺甲,森灵,反伤刺甲,0,1,3,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,森灵,1000102703,1,1,903901=10000,10000,0,0,0,10,0,0,10000,0,0,0,10,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Senling|Monster_Senling_FanShangCiJia|0|0|0,,,Monster_Senling/Monster_Senling_FanShangCiJia,,1000102703
1000102801,1000102801,1,普攻,噬人花,,0,4,0,0,1,0,0,1,,1,0,1,0,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,噬人花,1000102801,1,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Shirenhua|Monster_Shirenhua_Attack|0|0|0,,,Monster_Shirenhua/Monster_Shirenhua_Attack,,1000102801
1000102802,1000102802,1,地属性攻击,噬人花,地属性攻击,1,4,0,0,1,0,2,1,,1,0,1,2,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,噬人花,1000102802,1,1,,20000,0,0,0,10,0,0,20000,0,0,0,10,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Shirenhua|Monster_Shirenhua_DiShuXingGongJi|0|0|0,,,Monster_Shirenhua/Monster_Shirenhua_DiShuXingGongJi,,1000102802
1000102803,1000102803,1,攻速激发,噬人花,攻速激发,1,1,3,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,噬人花,1000102803,1,1,3030601=10000,20000,0,0,0,5,0,0,20000,0,0,0,5,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Shirenhua|Monster_Shirenhua_GongSuJiFa|0|0|0,,,Monster_Shirenhua/Monster_Shirenhua_GongSuJiFa,,1000102803
1000102901,1000102901,1,普攻,树精,,0,4,0,0,1,0,0,1,,1,0,1,0,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,树精,1000102901,1,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Shujing|Monster_Shujing_Attack|0|0|0,,,Monster_Shujing/Monster_Shujing_Attack,,1000102901
1000102902,1000102902,1,地属性攻击,树精,地属性攻击,1,4,0,0,1,0,2,1,,1,0,1,2,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,树精,1000102902,1,1,,20000,0,0,0,10,0,0,20000,0,0,0,10,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Shujing|Monster_Shujing_DiShuXingGongJi|0|0|0,,,Monster_Shujing/Monster_Shujing_DiShuXingGongJi,,1000102902
1000102903,1000102903,1,坚硬外壳,树精,坚硬外壳,0,1,3,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,树精,1000102903,1,1,3030301=10000,20000,0,0,1,30,0,0,20000,0,0,0,30,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Shujing|Monster_Shujing_JianYingWaiKe|0|0|0,,,Monster_Shujing/Monster_Shujing_JianYingWaiKe,,1000102903
1000102904,1000102904,1,坚硬外壳,树精,坚硬外壳,0,1,3,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,树精,1000102904,1,1,3030301=10000,20000,0,0,1,30,0,0,20000,0,0,0,30,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Shujing|Monster_Shujing_JianYingWaiKe_JingXiangFuBen|0|0|0,,,Monster_Shujing/Monster_Shujing_JianYingWaiKe_JingXiangFuBen,,1000102904
1000103001,1000103001,1,普攻,松鼠,,0,4,0,0,1,0,0,1,,1,0,1,0,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,松鼠,1000103001,1,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Songshu|Monster_Songshu_Attack|0|0|0,,,Monster_Songshu/Monster_Songshu_Attack,,1000103001
1000103002,1000103002,1,地属性攻击,松鼠,地属性攻击,1,4,0,0,1,0,2,1,,1,0,1,2,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,松鼠,1000103002,1,1,,20000,0,0,0,10,0,0,20000,0,0,0,10,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Songshu|Monster_Songshu_DiShuXingGongJi|0|0|0,,,Monster_Songshu/Monster_Songshu_DiShuXingGongJi,,1000103002
1000103101,1000103101,1,螳螂,螳螂,,0,4,0,0,1,0,0,1,,1,0,1,0,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,螳螂,1000103101,1,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Tanglang|Monster_Tanglang_Attack|0|0|0,,,Monster_Tanglang/Monster_Tanglang_Attack,,1000103101
1000103102,1000103102,1,地属性攻击,螳螂,地属性攻击,1,4,0,0,1,0,2,1,,1,0,1,2,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,螳螂,1000103102,1,1,,20000,0,0,0,10,0,0,20000,0,0,0,10,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Tanglang|Monster_Tanglang_DiShuXingGongJi|0|0|0,,,Monster_Tanglang/Monster_Tanglang_DiShuXingGongJi,,1000103102
1000103103,1000103103,1,速度激发,螳螂,速度激发,1,1,3,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,螳螂,1000103103,1,1,904001=10000,10000,0,0,0,5,0,0,10000,0,0,0,5,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,Monster_Tanglang|Monster_Tanglang_SuDuJiFa|0|0|0,,,Monster_Tanglang/Monster_Tanglang_SuDuJiFa,,1000103103
1000103104,1000103104,1,螳螂腿,螳螂,螳螂腿！疾风三式！,0,4,0,0,1,0,2,1,,1,0,1,2,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,螳螂,1000103104,1,1,,20000,0,0,0,5,0,0,20000,0,0,0,5,0,0,0,3,100,,,,,,0,0,0,,0,,,,,,,,Monster_Tanglang|Monster_Tanglang_TangLangQuan|0|0|0,,,Monster_Tanglang/Monster_Tanglang_TangLangQuan,,1000103104
1000103105,1000103105,1,震开,转职副本螳螂,,0,4,0,0,1,0,2,1,,1,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,螳螂,1000103105,1,1,3341701=10000,0,0,0,0,5,0,0,30000,0,0,0,5,0,0,0,3,100,,,,,,0,0,0,,0,,,,,,,,Dungeon_JianShiZhuanZhi|Monster_Tanglang_ZhenKai|0|0|0,,,Dungeon_JianShiZhuanZhi/Monster_Tanglang_ZhenKai,,1000103105
1000103201,1000103201,1,天使波利普攻,天使波利,,0,4,0,0,1,0,0,1,,1,0,1,6,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,天使波利,1000103201,1,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,3,100,,,,,,0,0,0,,0,,,,,,,,Monster_Tianshiboli|Monster_Tianshiboli_Attack|0|0|0,,,Monster_Tianshiboli/Monster_Tianshiboli_Attack,,1000103201
1000103202,1000103202,1,天使波利治愈术,天使波利,治愈术,1,1,3,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,1,,,0,0,,,,,,,,,,,,,天使波利,1000103202,1,1,,500,0,0,0,45,0,0,500,0,0,0,45,0,0,0,10,100,,,,,,0,0,0,,0,,,,,,,,Monster_Tianshiboli|Monster_Tianshiboli_Zhiyushu|0|0|0,,,Monster_Tianshiboli/Monster_Tianshiboli_Zhiyushu,,1000103202
1000103203,1000103203,1,天使波利暗之障壁,天使波利,暗之壁障,1,2,3,0,2,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,天使波利,1000103203,1,1,,10000,0,0,0,20,0,0,10000,0,0,0,20,0,0,0,10,100,,,,,,0,0,0,,0,,,,,,,,Monster_Tianshiboli|Monster_Tianshiboli_Anzhizhangbi|0|0|0,,,Monster_Tianshiboli/Monster_Tianshiboli_Anzhizhangbi,,1000103203
